                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76574,                0.45125,                0.98991,                0.90049,                0.98193,                0.98504,                0.76525,                0.91654,                0.35319,                 1.1352,             0.00029289,             0.00029289,             0.00029289
                     36,                0.75794,                0.44696,                0.98345,                0.92559,                0.97489,                0.98235,                 0.7826,                0.81809,                0.34335,                 1.0809,             0.00028858,             0.00028858,             0.00028858
                     37,                0.74561,                0.43658,                0.98553,                0.96033,                0.96095,                0.98877,                0.77611,                0.86785,                0.34612,                 1.1093,             0.00028427,             0.00028427,             0.00028427
                     38,                0.73986,                0.42556,                0.97598,                0.96352,                0.96993,                0.99233,                0.77581,                0.82658,                0.32857,                 1.0728,             0.00027997,             0.00027997,             0.00027997
                     39,                0.73536,                0.42361,                0.97412,                0.98627,                0.90818,                0.99455,                0.77293,                0.86026,                0.32411,                 1.0883,             0.00027566,             0.00027566,             0.00027566
                     40,                0.73093,                0.42378,                0.97112,                0.92906,                0.99424,                0.99437,                0.78797,                0.82994,                0.31133,                 1.0957,             0.00027135,             0.00027135,             0.00027135
                     41,                0.71205,                0.41488,                0.96683,                0.97077,                0.98533,                0.99232,                0.77702,                0.88364,                0.32482,                 1.1321,             0.00026705,             0.00026705,             0.00026705
                     42,                 0.7015,                0.40988,                0.95952,                0.97776,                0.97452,                0.99354,                0.78525,                0.85217,                0.31692,                 1.0882,             0.00026274,             0.00026274,             0.00026274
                     43,                0.70746,                0.40551,                0.95471,                0.94155,                0.99966,                0.99472,                0.78581,                0.83292,                0.29653,                 1.0549,             0.00025843,             0.00025843,             0.00025843
                     44,                0.68958,                0.40075,                0.94396,                0.97395,                0.98141,                0.99489,                0.79146,                0.82143,                0.29459,                 1.0533,             0.00025413,             0.00025413,             0.00025413
                     45,                 0.6797,                0.39197,                0.95144,                0.94357,                0.99713,                0.99482,                0.79476,                0.83252,                0.29646,                 1.0755,             0.00024982,             0.00024982,             0.00024982
                     46,                0.68984,                0.39597,                0.95938,                0.95699,                0.98986,                0.99457,                0.79414,                0.86917,                0.31148,                 1.1358,             0.00024551,             0.00024551,             0.00024551
                     47,                0.66981,                0.38023,                0.94902,                0.97578,                0.97446,                0.99216,                0.78681,                0.81692,                0.30027,                 1.0899,             0.00024121,             0.00024121,             0.00024121
                     48,                0.65978,                0.38342,                0.94634,                0.95223,                0.98006,                0.98582,                0.76487,                0.86313,                0.33955,                  1.122,              0.0002369,              0.0002369,              0.0002369
                     49,                0.65583,                0.38161,                0.93968,                0.96332,                0.97701,                0.99055,                0.79434,                0.80243,                0.31214,                 1.0689,             0.00023259,             0.00023259,             0.00023259
                     50,                0.66088,                0.37914,                0.94629,                0.98397,                0.98939,                0.99424,                0.79373,                0.83147,                0.29355,                 1.0967,             0.00022829,             0.00022829,             0.00022829
                     51,                 0.6408,                0.36886,                0.93489,                0.92901,                0.99804,                0.99348,                 0.8006,                0.81797,                0.29774,                  1.094,             0.00022398,             0.00022398,             0.00022398
                     52,                0.63601,                0.37114,                0.93124,                0.98142,                0.99123,                  0.995,                0.79632,                0.81843,                0.28175,                 1.0805,             0.00021968,             0.00021968,             0.00021968
                     53,                0.64715,                0.37203,                0.93916,                 0.9472,                0.99292,                0.99433,                 0.8001,                0.84863,                0.30629,                 1.0905,             0.00021537,             0.00021537,             0.00021537
                     54,                0.63807,                0.36985,                0.93429,                0.96739,                0.96577,                0.98619,                0.79955,                 0.8012,                0.32157,                 1.0526,             0.00021106,             0.00021106,             0.00021106
                     55,                0.61942,                0.36276,                0.92426,                0.93425,                0.99758,                0.99493,                0.77428,                0.83394,                0.28213,                  1.078,             0.00020676,             0.00020676,             0.00020676
                     56,                0.62336,                0.35983,                0.92381,                0.92914,                0.99968,                  0.995,                0.78873,                0.84904,                0.28009,                  1.085,             0.00020245,             0.00020245,             0.00020245
                     57,                0.60672,                0.35156,                0.91867,                0.98326,                0.98693,                 0.9941,                0.80413,                0.79405,                0.28094,                 1.0732,             0.00019814,             0.00019814,             0.00019814
                     58,                0.59743,                0.34742,                0.90913,                0.90553,                0.99994,                  0.995,                0.78888,                 0.8539,                0.28907,                 1.0968,             0.00019384,             0.00019384,             0.00019384
                     59,                0.59827,                0.34532,                0.91366,                0.97459,                 0.9716,                0.98501,                0.77826,                0.83518,                0.31134,                 1.0929,             0.00018953,             0.00018953,             0.00018953
                     60,                0.59276,                0.34666,                0.91388,                 0.9515,                0.99197,                0.99421,                0.80624,                0.80068,                0.29252,                 1.0719,             0.00018522,             0.00018522,             0.00018522
                     61,                0.58617,                0.34357,                0.91512,                0.92378,                0.99922,                0.99468,                0.80226,                0.80406,                0.27747,                 1.0852,             0.00018092,             0.00018092,             0.00018092
                     62,                0.58704,                0.34063,                0.91229,                0.97978,                0.97427,                0.98959,                0.78777,                0.84603,                0.30108,                 1.1179,             0.00017661,             0.00017661,             0.00017661
                     63,                0.58087,                0.33875,                0.91541,                0.96361,                0.99057,                0.98927,                0.78035,                 0.8142,                0.29335,                   1.09,              0.0001723,              0.0001723,              0.0001723
                     64,                0.57195,                0.33718,                0.91229,                0.93702,                0.99184,                0.98854,                0.80403,                0.79739,                0.28725,                 1.0774,               0.000168,               0.000168,               0.000168
                     65,                0.57204,                0.33346,                0.90637,                0.94559,                0.99072,                0.99086,                0.79682,                0.80324,                0.28229,                 1.0829,             0.00016369,             0.00016369,             0.00016369
                     66,                0.57378,                0.33761,                0.90208,                 0.9731,                0.97262,                0.98718,                0.79963,                0.80187,                  0.308,                 1.0616,             0.00015938,             0.00015938,             0.00015938
                     67,                0.56918,                0.32942,                0.90547,                0.95841,                0.97603,                  0.991,                0.80565,                0.80041,                0.29667,                  1.072,             0.00015508,             0.00015508,             0.00015508
                     68,                0.56236,                0.32747,                 0.9032,                0.95937,                0.98987,                0.99319,                0.80105,                0.79899,                0.28675,                 1.0739,             0.00015077,             0.00015077,             0.00015077
                     69,                0.55217,                0.32522,                0.89832,                 0.9552,                0.99351,                0.99286,                0.80023,                0.81522,                0.29299,                 1.0812,             0.00014646,             0.00014646,             0.00014646
                     70,                0.54477,                0.32065,                0.89387,                0.97449,                0.98369,                 0.9907,                0.80407,                0.80703,                0.29304,                 1.0975,             0.00014216,             0.00014216,             0.00014216
                     71,                0.54398,                0.32415,                0.89644,                0.97695,                0.97768,                0.98582,                0.79669,                0.82255,                0.29979,                 1.1009,             0.00013785,             0.00013785,             0.00013785
                     72,                0.53915,                0.31597,                0.88902,                0.97755,                0.98423,                0.98883,                 0.8074,                0.79605,                 0.2824,                 1.0533,             0.00013355,             0.00013355,             0.00013355
                     73,                0.53926,                0.31998,                0.89206,                0.98433,                0.99424,                  0.995,                0.79558,                0.79843,                0.26496,                 1.0652,             0.00012924,             0.00012924,             0.00012924
                     74,                0.53572,                0.31324,                0.88646,                0.93965,                 0.9897,                0.99037,                0.80239,                0.78932,                0.28873,                 1.0677,             0.00012493,             0.00012493,             0.00012493
                     75,                0.51959,                0.30619,                 0.8864,                0.98508,                0.99389,                0.99489,                0.81893,                0.79091,                0.26357,                 1.0655,             0.00012063,             0.00012063,             0.00012063
                     76,                0.52674,                0.30777,                 0.8857,                0.98199,                0.98835,                0.99464,                0.81807,                0.78997,                0.27084,                  1.075,             0.00011632,             0.00011632,             0.00011632
                     77,                0.50905,                0.30097,                0.87651,                0.97493,                0.99398,                0.99446,                0.81689,                0.79566,                0.26186,                  1.071,             0.00011201,             0.00011201,             0.00011201
                     78,                0.51114,                0.30487,                0.87858,                 0.9863,                0.98648,                0.99221,                0.81945,                0.79206,                0.28079,                 1.0698,             0.00010771,             0.00010771,             0.00010771
                     79,                 0.5137,                0.30326,                0.88454,                0.98163,                0.98136,                0.99025,                0.81849,                0.79578,                0.27785,                 1.0686,              0.0001034,              0.0001034,              0.0001034
                     80,                 0.5074,                 0.3042,                 0.8828,                0.98341,                0.98511,                 0.9931,                 0.8216,                0.78423,                0.27063,                 1.0615,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     81,                0.49384,                 0.2953,                0.87472,                0.98088,                0.99321,                0.99481,                0.80569,                0.77233,                 0.2602,                 1.0633,             9.4786e-05,             9.4786e-05,             9.4786e-05
                     82,                0.49739,                0.29413,                0.87811,                0.98371,                0.98074,                0.99411,                0.81531,                0.78242,                0.26574,                 1.0747,              9.048e-05,              9.048e-05,              9.048e-05
                     83,                0.49257,                0.29371,                0.87684,                0.97943,                 0.9831,                0.99429,                0.80456,                0.78812,                0.27083,                 1.0756,             8.6173e-05,             8.6173e-05,             8.6173e-05
                     84,                0.49052,                  0.291,                0.87451,                0.97907,                 0.9849,                0.99203,                0.80594,                0.78149,                0.27918,                 1.0784,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     85,                0.48731,                0.29215,                0.87078,                0.98756,                0.98975,                0.99481,                0.81145,                0.76501,                 0.2619,                 1.0675,             7.7561e-05,             7.7561e-05,             7.7561e-05
                     86,                0.47948,                 0.2891,                0.87153,                0.98649,                0.98611,                0.99481,                0.81178,                0.76862,                0.25605,                 1.0767,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     87,                0.47336,                0.28564,                0.87104,                0.98113,                0.98773,                0.99304,                0.80204,                0.78191,                0.26508,                 1.0811,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     88,                0.47049,                 0.2825,                0.86784,                0.95457,                0.99624,                0.99488,                0.80942,                0.78229,                0.26481,                 1.0711,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     89,                0.46767,                0.28276,                0.86957,                0.96971,                0.98886,                0.98909,                 0.8153,                 0.7756,                0.27076,                 1.0677,             6.0335e-05,             6.0335e-05,             6.0335e-05
                     90,                0.45764,                0.27759,                0.86457,                0.98136,                0.98406,                0.99445,                 0.8191,                0.77097,                0.27027,                 1.0676,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     91,                0.45426,                0.23853,                0.85411,                 0.9751,                0.99544,                  0.995,                0.79583,                0.79224,                0.26105,                 1.0943,             5.1721e-05,             5.1721e-05,             5.1721e-05
                     92,                0.42316,                0.22882,                0.84035,                0.95024,                0.99219,                0.99459,                0.80852,                0.77941,                0.26308,                 1.0817,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     93,                0.41617,                0.22383,                0.83861,                 0.9621,                  0.989,                0.99417,                0.81495,                0.78573,                0.27455,                 1.0903,             4.3108e-05,             4.3108e-05,             4.3108e-05
                     94,                0.40936,                0.21931,                0.83806,                0.96399,                0.98757,                 0.9929,                0.81173,                 0.7864,                0.27189,                 1.0886,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     95,                0.39439,                0.21411,                0.83401,                 0.9666,                0.98781,                0.99011,                0.80784,                0.78753,                0.27643,                 1.0907,             3.4495e-05,             3.4495e-05,             3.4495e-05
                     96,                0.39271,                 0.2137,                0.83369,                 0.9665,                0.99022,                0.99251,                0.81318,                 0.7883,                0.27862,                 1.0878,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     97,                0.39017,                0.21299,                0.83384,                 0.9727,                0.98952,                0.99404,                0.81275,                0.78235,                0.27012,                 1.0732,             2.5883e-05,             2.5883e-05,             2.5883e-05
                     98,                 0.3846,                0.21022,                0.83128,                0.97791,                0.98672,                0.99377,                0.80697,                0.78707,                 0.2768,                 1.0785,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     99,                0.38661,                0.21094,                  0.831,                0.98035,                0.98475,                0.99013,                0.81156,                0.78472,                0.27886,                 1.0813,              1.727e-05,              1.727e-05,              1.727e-05
                    100,                0.37074,                0.20508,                0.82841,                0.98073,                0.98571,                0.99029,                0.80485,                0.78951,                0.27864,                 1.0864,             1.2963e-05,             1.2963e-05,             1.2963e-05
