                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75222,                0.46015,                0.99666,                0.94001,                0.94787,                 0.9669,                0.77389,                0.81529,                0.42972,                 1.0375,              0.0011224,              0.0011224,              0.0011224
                     36,                0.73648,                0.44993,                0.97945,                0.91472,                0.96425,                0.97458,                0.78756,                0.77878,                0.42038,                 1.0237,              0.0011059,              0.0011059,              0.0011059
                     37,                0.71179,                0.43717,                0.97391,                0.97523,                0.94836,                0.97999,                 0.7891,                0.78279,                0.41744,                 1.0175,              0.0010894,              0.0010894,              0.0010894
                     38,                0.72363,                0.43936,                0.98414,                0.96545,                0.95447,                0.98309,                0.78926,                0.79148,                0.40359,                 1.0485,              0.0010729,              0.0010729,              0.0010729
                     39,                0.72184,                0.43861,                0.97538,                0.93492,                0.94431,                0.96181,                  0.783,                0.77033,                0.45445,                 1.0241,              0.0010564,              0.0010564,              0.0010564
                     40,                0.69859,                0.42899,                0.96287,                0.92123,                0.92228,                0.96075,                0.76943,                0.79546,                0.47313,                  1.028,              0.0010399,              0.0010399,              0.0010399
                     41,                0.69915,                0.43204,                0.96436,                 0.9272,                0.94433,                0.96901,                0.78635,                 0.7737,                0.44049,                 1.0186,              0.0010234,              0.0010234,              0.0010234
                     42,                 0.6832,                0.41978,                0.95941,                0.96444,                0.95545,                0.97136,                0.78521,                0.77255,                0.42369,                 1.0186,              0.0010069,              0.0010069,              0.0010069
                     43,                0.67131,                0.39936,                0.95222,                0.96952,                0.94126,                0.98168,                0.80299,                0.75422,                0.38111,                 1.0106,             0.00099036,             0.00099036,             0.00099036
                     44,                0.66689,                0.40164,                0.95107,                0.96069,                0.93411,                 0.9762,                0.80771,                0.74392,                0.40532,                 1.0098,             0.00097386,             0.00097386,             0.00097386
                     45,                0.66159,                0.40464,                0.95534,                 0.9318,                0.95672,                0.97865,                0.79982,                0.76899,                0.39424,                 1.0244,             0.00095736,             0.00095736,             0.00095736
                     46,                0.64568,                0.39735,                0.93918,                   0.95,                0.96466,                0.97936,                0.80707,                0.73655,                0.38409,                 0.9977,             0.00094085,             0.00094085,             0.00094085
                     47,                0.64581,                0.39916,                0.94434,                0.95406,                0.94054,                0.97419,                0.80273,                0.72226,                0.39099,                0.99492,             0.00092435,             0.00092435,             0.00092435
                     48,                0.62876,                0.38751,                0.94286,                0.97652,                0.92555,                0.97727,                0.81619,                0.72175,                0.38771,                0.99607,             0.00090785,             0.00090785,             0.00090785
                     49,                 0.6241,                 0.3866,                0.92658,                0.97043,                0.95689,                0.98157,                0.81191,                0.74767,                0.40034,                 1.0049,             0.00089134,             0.00089134,             0.00089134
                     50,                0.62075,                0.37096,                0.93213,                0.98171,                0.95273,                0.97864,                0.81632,                0.71871,                 0.3807,                0.99384,             0.00087484,             0.00087484,             0.00087484
                     51,                0.62359,                0.36914,                0.92616,                0.95262,                0.97065,                0.97746,                0.82693,                0.70006,                0.36609,                0.98569,             0.00085834,             0.00085834,             0.00085834
                     52,                0.60488,                0.37253,                0.92618,                  0.954,                0.94155,                0.96973,                0.81077,                0.70432,                0.40252,                0.99009,             0.00084184,             0.00084184,             0.00084184
                     53,                0.60628,                0.37304,                0.92214,                0.94676,                 0.9666,                0.97602,                0.82134,                0.70737,                0.37688,                0.98232,             0.00082533,             0.00082533,             0.00082533
                     54,                0.60009,                0.36849,                0.92648,                0.96811,                0.96594,                0.98036,                0.81855,                0.69746,                0.36718,                0.97621,             0.00080883,             0.00080883,             0.00080883
                     55,                0.60778,                 0.3594,                0.91387,                0.95705,                0.95231,                0.98236,                0.83767,                0.67303,                 0.3481,                0.96977,             0.00079233,             0.00079233,             0.00079233
                     56,                0.57836,                0.35565,                0.91719,                0.97613,                0.94782,                0.97756,                0.83046,                 0.6653,                0.36947,                0.95973,             0.00077582,             0.00077582,             0.00077582
                     57,                0.58021,                0.36366,                0.91554,                 0.9684,                 0.9624,                0.98838,                0.84633,                0.67028,                0.33495,                0.96775,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.5654,                0.34596,                0.90803,                0.96441,                0.96128,                0.98732,                0.83209,                0.68041,                0.33414,                0.96563,             0.00074282,             0.00074282,             0.00074282
                     59,                0.56665,                 0.3405,                0.90702,                0.96215,                0.97036,                 0.9928,                0.85335,                0.64315,                0.33008,                0.95437,             0.00072631,             0.00072631,             0.00072631
                     60,                0.57418,                0.34411,                0.91191,                 0.9612,                0.96374,                0.98449,                0.84269,                0.66641,                 0.3532,                0.96305,             0.00070981,             0.00070981,             0.00070981
                     61,                0.55355,                0.34002,                0.89779,                0.97195,                0.97058,                0.98569,                0.84271,                0.65442,                0.34245,                0.96476,             0.00069331,             0.00069331,             0.00069331
                     62,                0.54061,                0.32871,                0.90351,                0.98308,                0.97365,                0.99131,                0.85057,                0.64116,                0.32748,                0.95898,              0.0006768,              0.0006768,              0.0006768
                     63,                0.54519,                0.32926,                0.90176,                0.98135,                0.96504,                0.98888,                0.85774,                0.62514,                0.30428,                0.94563,              0.0006603,              0.0006603,              0.0006603
                     64,                0.54385,                0.33383,                0.90314,                0.96142,                0.96186,                0.98535,                0.84735,                 0.6437,                0.33223,                0.95586,              0.0006438,              0.0006438,              0.0006438
                     65,                 0.5351,                0.32157,                0.90341,                0.96451,                0.96608,                0.98383,                0.84604,                0.63642,                0.34384,                0.95654,             0.00062729,             0.00062729,             0.00062729
                     66,                0.53261,                0.32729,                0.89496,                0.96779,                0.97209,                0.98337,                0.85549,                0.61815,                0.33334,                0.94694,             0.00061079,             0.00061079,             0.00061079
                     67,                0.52334,                0.32251,                0.89665,                0.96514,                0.97582,                0.98297,                0.85526,                0.63064,                0.33492,                0.94799,             0.00059429,             0.00059429,             0.00059429
                     68,                0.51905,                 0.3144,                0.88932,                0.96734,                0.95995,                0.98272,                0.84897,                 0.6252,                0.32154,                0.94878,             0.00057778,             0.00057778,             0.00057778
                     69,                0.51387,                0.30965,                0.88498,                0.99007,                0.95967,                 0.9895,                0.86194,                0.60658,                0.30724,                0.94626,             0.00056128,             0.00056128,             0.00056128
                     70,                 0.5016,                0.30412,                0.88009,                0.96411,                 0.9792,                0.98903,                0.86763,                0.59822,                0.30479,                0.94392,             0.00054478,             0.00054478,             0.00054478
                     71,                0.49681,                0.30688,                0.88777,                0.97252,                0.95718,                0.98195,                0.86322,                0.59765,                0.32335,                0.94123,             0.00052827,             0.00052827,             0.00052827
                     72,                0.48548,                0.29646,                0.88081,                0.96204,                0.96268,                 0.9862,                0.86425,                0.61911,                0.31289,                0.95111,             0.00051177,             0.00051177,             0.00051177
                     73,                0.49455,                0.30441,                0.88303,                0.97003,                0.97998,                0.98457,                0.86008,                0.59711,                0.30438,                 0.9423,             0.00049527,             0.00049527,             0.00049527
                     74,                0.48608,                0.29224,                0.87509,                0.97756,                0.96343,                0.98175,                0.87183,                0.57036,                0.30401,                0.93068,             0.00047876,             0.00047876,             0.00047876
                     75,                0.48244,                0.29357,                0.87629,                0.97875,                0.97902,                0.99005,                0.86962,                0.58179,                0.28643,                   0.93,             0.00046226,             0.00046226,             0.00046226
                     76,                0.48229,                0.28867,                0.87145,                  0.978,                0.97587,                0.98899,                0.87465,                0.57108,                0.29011,                0.92536,             0.00044576,             0.00044576,             0.00044576
                     77,                0.46065,                0.27801,                 0.8715,                0.98655,                0.98117,                0.98973,                0.86912,                0.57755,                 0.2943,                0.93657,             0.00042925,             0.00042925,             0.00042925
                     78,                0.46769,                0.29189,                0.87278,                0.98307,                0.97542,                0.99058,                 0.8724,                0.57011,                0.28649,                0.93113,             0.00041275,             0.00041275,             0.00041275
                     79,                0.46476,                0.28084,                0.87058,                0.97765,                 0.9734,                0.98334,                0.86974,                0.58643,                0.30444,                0.94258,             0.00039625,             0.00039625,             0.00039625
                     80,                0.45661,                0.27785,                0.86829,                0.98803,                0.97308,                 0.9888,                0.88943,                0.56049,                0.28337,                0.92783,             0.00037974,             0.00037974,             0.00037974
                     81,                0.45529,                0.27516,                0.86299,                0.97954,                0.96036,                 0.9822,                0.88116,                0.55057,                 0.3026,                0.92929,             0.00036324,             0.00036324,             0.00036324
                     82,                0.43616,                0.27017,                0.86488,                0.96747,                0.97376,                0.99013,                0.88612,                0.55182,                0.27673,                0.92759,             0.00034674,             0.00034674,             0.00034674
                     83,                0.44625,                0.27713,                0.86843,                0.97547,                0.98054,                 0.9918,                0.89446,                0.54386,                0.27412,                0.92689,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.4452,                 0.2691,                 0.8683,                0.99156,                0.97267,                0.99102,                0.89413,                 0.5389,                0.27488,                0.91994,             0.00031373,             0.00031373,             0.00031373
                     85,                0.44432,                0.27273,                0.86503,                0.97895,                 0.9701,                0.98419,                0.88836,                0.53475,                0.28965,                0.91452,             0.00029723,             0.00029723,             0.00029723
                     86,                0.44358,                0.27341,                0.86753,                0.98275,                0.96755,                 0.9823,                 0.8821,                0.53561,                0.29277,                0.92092,             0.00028072,             0.00028072,             0.00028072
                     87,                0.43184,                0.26701,                 0.8643,                 0.9772,                0.96877,                0.97903,                0.88183,                0.53129,                0.28769,                0.91455,             0.00026422,             0.00026422,             0.00026422
                     88,                0.42789,                0.26207,                0.86205,                0.98246,                0.96377,                0.98646,                0.88997,                0.52892,                0.27508,                0.91443,             0.00024772,             0.00024772,             0.00024772
                     89,                0.41831,                0.26138,                0.86093,                0.97116,                0.97848,                0.98728,                0.89476,                0.51759,                0.27223,                0.90883,             0.00023121,             0.00023121,             0.00023121
                     90,                0.42484,                0.25764,                0.85615,                0.98949,                0.96825,                0.99156,                0.89828,                0.51788,                0.25703,                0.91284,             0.00021471,             0.00021471,             0.00021471
                     91,                0.39765,                0.22649,                0.84065,                 0.9852,                0.97058,                0.98696,                 0.8882,                0.53808,                0.28048,                0.91958,             0.00019821,             0.00019821,             0.00019821
                     92,                0.37761,                0.21386,                0.83987,                 0.9787,                0.97559,                 0.9845,                0.89714,                0.51218,                0.27468,                0.91523,              0.0001817,              0.0001817,              0.0001817
                     93,                0.36737,                0.21251,                0.83934,                0.98304,                0.97399,                0.98602,                0.89365,                0.51685,                0.27328,                0.91431,              0.0001652,              0.0001652,              0.0001652
                     94,                0.37343,                  0.216,                0.83728,                0.97932,                0.97558,                0.98702,                0.89996,                0.51465,                0.26219,                0.91472,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.3605,                0.20915,                0.83363,                0.96954,                 0.9837,                0.98705,                0.89681,                0.50792,                0.25812,                0.91294,             0.00013219,             0.00013219,             0.00013219
                     96,                0.35149,                0.20178,                 0.8325,                0.98291,                0.97374,                 0.9907,                0.90549,                0.50486,                0.25081,                0.91226,             0.00011569,             0.00011569,             0.00011569
                     97,                0.35045,                0.20176,                 0.8257,                0.98524,                0.97594,                0.99089,                0.90955,                0.49608,                0.24932,                0.91269,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.34989,                 0.2027,                0.83391,                0.98571,                0.97551,                0.99104,                0.90607,                0.49329,                0.25038,                0.90757,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.34743,                0.20188,                0.82983,                0.98822,                0.97541,                0.99118,                0.90855,                0.49407,                0.24455,                  0.906,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.3403,                0.19732,                0.82537,                 0.9893,                0.96718,                0.99135,                0.90946,                0.49562,                0.24989,                0.90782,             4.9677e-05,             4.9677e-05,             4.9677e-05
